Material Name,Material Title,Material Synonyms,Stream Name,Stream Title,Drop Off Instructions,Special Instructions
dandelion,Dandelion,,wizard_seasonal_yard_waste_collection_test,Seasonal yard waste collection,,
leaves,Leaves,,wizard_seasonal_yard_waste_collection_test,Seasonal yard waste collection,,
packing_tape,Packing tape (used),,wizard_garbage,Garbage collection,,"Rolls of packing tape are accepted for donation at the <a href=""https://www.edmonton.ca/programs_services/garbage_waste/reuse-centre.aspx"">Reuse Centre."
fruit_cup_plastic,Fruit cup (plastic),fruitcup,wizard_garbage,Garbage collection,,
styrofoam_egg_carton,Egg carton (Styrofoam),"Foam egg carton, styrofoam egg tray",drop-off_-_reuse_centre,Reuse Centre drop-off,,
ladder_metal,Ladder (metal),,reuse,Reuse,,
coffee_creamer_carton,Coffee creamer carton,"coffee creamer, half & half carton",bottle_depot,Bottle Depot drop-off,,Rinse container.
branches,Branches,"brush, shrubbery, shrub, spruce bough, trees, black knot",wizard_seasonal_yard_waste_collection_test,Seasonal yard waste collection,,"Branches may also be tied in bundles less than 1.2 m (4 ft) long and 0.75 m (2 ft) in diameter for seasonal yard waste collection. Please don&rsquo;t place large branches (diameter greater than 2.5 cm) in the food scraps cart. They damage processing machinery. Diseased branches (like black knot) should be sealed in a plastic bag and put in your garbage cart. If these are elm branches, <a href=""page:562385:{}"">special instructions apply to help prevent the spread of <a href=""https://www.edmonton.ca/programs_services/pests/dutch-elm-disease.aspx"">Dutch elm disease."
bakeware_silicone,Bakeware (silicone),,reuse,Reuse,,
furniture,Furniture,"funature, furnture, funiture, wicker, picnic tables, armoire, arm chairs, bassinet, baby chair, lazy boy chair, head boards, headboards, benches, cabinet, lawnchair, loveseat, nightstand, love seat, Desk, Dresser, Futon, dresser, book shelf, Wardrobe, Night stand, massage table, Wooden couch frame, Television stand, Recliner, office chair, dismantled dresser, sectional, wooden bed frames and headboard, ottoman, chest of drawer, room divider, bookshelf, bookshelves, bookcase, futon, shelving unit, wooden dresser, , futon, bar stools, piano, armchair",reuse,Reuse,,
household_cleaner_non-toxic,Household cleaner bottle (empty),"household cleaning products, cleansers, febreeze, windex, lysol, , furniture polish, lysol",wizard_recycling_depots,Recycling Depot drop-off,,Empty and rinse plastic bottle.  Remove spray nozzle and put it in the garbage.
make-up_cosmetics,Make-up & cosmetics,"make up, mascara, eyeliner, eye liner, lip stick, lipstick, blush, bronzer, lip gloss, chapstick, beauty products, makeup, foundation, eyebrow pencil",wizard_garbage,Garbage collection,,
freezie_wrapper,Freezie wrapper,"ice pop, freeze pop, Mr. freeze",wizard_garbage,Garbage collection,,
elm_branches,Elm wood,"Dutch elm, Dutch elm disease, elm branches, elm tree",,,,"Proper disposal of elm wood helps prevent the spread of <a href=""https://www.edmonton.ca/programs_services/pests/dutch-elm-disease.aspx"" Dutch elm disease.<br /><br />Bundle small elm branches and set out for seasonal yard waste collection. Bundles must be smaller than 1.2 m (4 ft) and 20 kg (44 lbs).<br /><br />Drop off large elm branches (diameter greater than 2.5 cm) for free at an Eco Station. Branches must be less than 1.2 m (4 ft) long to fit in special elm disposal bins.<br /><br />Take large loads (more than a half-ton truck) to the <a href=""http://edmonton.ca/ewmc"" Edmonton Waste Management Centre. Disposal fees apply.<br /><br />Storage of pruned elm wood is prohibited."
beer_can,Beer can,aluminum can,wizard_recycling,Recycling collection,,
candies,Candies,"candy, gummy bear, jelly bean, twizzler, hard candy",wizard_food_scraps_collection_test,Food scraps collection,,
furniture,Furniture,"funature, furnture, funiture, wicker, picnic tables, armoire, arm chairs, bassinet, baby chair, lazy boy chair, head boards, headboards, benches, cabinet, lawnchair, loveseat, nightstand, love seat, Desk, Dresser, Futon, dresser, book shelf, Wardrobe, Night stand, massage table, Wooden couch frame, Television stand, Recliner, office chair, dismantled dresser, sectional, wooden bed frames and headboard, ottoman, chest of drawer, room divider, bookshelf, bookshelves, bookcase, futon, shelving unit, wooden dresser, , futon, bar stools, piano, armchair",eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
shampoo_bottle,Shampoo bottle,,wizard_recycling,Recycling collection,,Remove caps and lids and place in garbage.  Place pump in garbage.
aerosol_can_full_or_partially_full,Aerosol can (full or partially full),"hairspray, Pam, cooking oil spray, aersol, aerosal, arisol, airosol, spray cleaner can, silly string, hair spray, hair mousse, bug spray, insect repellent, air freshener",wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
tree_trunk,Tree trunk,,wizard_eco_station_-_grass_leafy_and_yard_waste,Eco Station drop-off (yard waste),,
bakeware_silicone,Bakeware (silicone),,wizard_garbage,Garbage collection,,
plastic_jug,Plastic jug,"distilled water jug, vinegar container",wizard_recycling,Recycling collection,,Remove caps and lids and place in garbage.
cherry_pits,Cherry pits,,wizard_food_scraps_collection_test,Food scraps collection,,
spoiled_fruit,Spoiled fruit,"produce, rhubarb, olives, pumpkin, avocado, squash, grape, tomato, pineapple, pineapple, watermelon, apple, mandarin, tangerine, lemon, lime, grapefruit, apricot, cherries, cherry, pear, mango, bananas, banana, strawberries, peach, kiwi, blueberries, raspberries, berries, dragon fruit, plums, figs, oranges, orange, blackberries, watermelon, fallen fruit",wizard_food_scraps_collection_test,Food scraps collection,,
baby_formula_expired,Baby formula (expired),,wizard_food_scraps_collection_test,Food scraps collection,,
cream_cheese_spoiled,Cream cheese (spoiled),,wizard_food_scraps_collection_test,Food scraps collection,,Remove cream cheese from packaging before placing it in the food scraps cart.
curling_iron,Curling iron,,reuse,Reuse,,
beverage_can,Beverage can,"juice can, pop can, aluminum can",wizard_recycling,Recycling collection,,
appliance_small,Appliance (small),"iron, crockpot, popcorn machine, coffee grinder, espresso machine, magic bullet, food slicer, bread slicer, coffee machine, mixer, pressure cooker, ice cream machine, fan, iron, food processor, kettle, bread machine, bread maker, toaster oven, waffle maker, slow cooker, crock pot, deep fryer, heater, Clothes iron, Water pick, Rotesseri, rotisserie, electric coffee percolator, electric fan, electric kettle, paper shredder, table fan, typewriter, soda stream, french press, sodastream, pressure washer, blender, curling iron, steamer, can opener, electric kettle, , electric fan, paper shredder machine, air purifier, blowdryer, air fryer, robot vacumn, used rice cooker, vibrator",eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
instant_noodle_cup,Instant noodle cup,,wizard_garbage,Garbage collection,,
plastic_clam_shell_container,"Plastic ""clamshell"" container","berry containers, clam shell, fruit in plastic containers, raspberry package, deli plastic container,",wizard_recycling,Recycling collection,,
pine_cones,Pine cones,pinecones,wizard_seasonal_yard_waste_collection_test,Seasonal yard waste collection,,
covid-19_rapid_test,COVID-19 rapid test,"Test kit, rapid test kit, atigen test, home test kit",wizard_garbage,Garbage collection,,"Put all test parts and packaging in the garbage. This includes the nasal swab, test device, tube stand, extraction tube, nozzle with filter and buffer bottle. Please bag and tie items securely. This keeps waste services staff safe. Recycle the test kit box and paper instructions in your blue bag or apartment blue bin."
pet_shavings,Pet hair,"dog hair, cat hair, rabbit hair, pet fur, dog hair",wizard_garbage,Garbage collection,,
magazine,Magazine,"Magizine,",drop-off_-_reuse_centre,Reuse Centre drop-off,,
crabapples,Crabapples,crab apples,wizard_seasonal_yard_waste_collection_test,Seasonal yard waste collection,,
artificial_plants,Artificial plants and flowers,,reuse,Reuse,,
bush_stump,Bush stump,,wizard_ewmc_drop-off_yard_waste,EWMC drop-off (yard waste),,
clay,Clay,Bentonite,edmonton_waste_management_centre_ewmc,EWMC drop-off,,"Have a tiny bit of clay? Small amounts of residential clay can be placed in your garbage cart. Remember, carts can&rsquo;t be collected if they weigh more than 120 lbs (small cart) or 220 lbs (large cart)."
plastic_packaging,Plastic packaging,"Moulded Packaging, paper towel wrapping, packaging hard plastic, uncle bens rice package, razor packaging, package for toothbrush, plastic wrapping on toilet paper, plastic cookie tray, clear plastic packaging, noodle packaging, hard plastic wrapping, shredded cheese bag, toilet paper plastic bag",wizard_garbage,Garbage collection,,
tree_trunk,Tree trunk,,wizard_ewmc_drop-off_yard_waste,EWMC drop-off (yard waste),,
foil_tray,Foil tray,"foil pan, foil take out container",wizard_recycling_depots,Recycling Depot drop-off,,
fuel_canister,Fuel canister,,wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
tires,Tire,"rubber tire, car wheels, truck tires, tire",wizard_eco_stations,Eco Station drop-off,,"Eco Stations accept passenger vehicle, motorcycle and ATV tires from residents for free. They will be recycled. A disposal fee of $10 per item applies for other tires."
diaper,Diaper,"Pampers, nappy, Pull-ups, , used baby diaper, dipers",wizard_garbage,Garbage collection,,
tea_tin,Tea tin,", metal tea container",wizard_recycling,Recycling collection,,
paper_napkins,Paper napkin,"napkins, serviettes, absorbent paper, dirty napkins, wet or soiled paper, food soiled napkin, serviettes",,,,Put paper napkins that are soiled with food in your food scraps cart. Put paper napkins that are soiled with cleaning products in your garbage cart.
plastic_shower_curtain,Shower curtain (plastic),,reuse,Reuse,,
toilet_paper_roll,Toilet paper tube,"toiletpaper tube, tissue roll?",wizard_recycling,Recycling collection,,
hand_soap_container_plastic,Hand soap container (plastic),", soap dispenser, bath and body works soap dispenser, liquid soap container",wizard_recycling,Recycling collection,,Remove bottle pump and put it in the garbage.
flowers_dead_or_alive,Flowers (dead or alive),"fresh flowers, cut flowers, petals, flower, roses, poinsettia",wizard_seasonal_yard_waste_collection_test,Seasonal yard waste collection,,
hangers_wood,Clothes hanger (wood),,reuse,Reuse,,
pesticide_garden_chemicals_fertilizer,Pesticide,"lawn chemicals, insecticide, herbicide, pestacide, Rat poison, Mouse poison, Mice poison, Warfarin, Coumadin, Jantoven, Marevan, Waran, Flea collars, Flea powders, Flea powder, Flea spray, Mothballs, Moth crystals, Naphthalene, Paradichlorobenzene, PDCB, Parazene, block deodorizers, pesicides, Raid, weedeater, weed eater, killex, herbicide household",wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
hot_chocolate_can,Hot chocolate can,,wizard_garbage,Garbage collection,,
tree_trimmings,Tree trimmings,,wizard_seasonal_yard_waste_collection_test,Seasonal yard waste collection,,"Small tree trimmings may also be bundled and set out for seasonal yard waste collection. Bundles must be less than 1.2m (4 ft) long, 0.75 m (2 ft) in diameter and 20 kg (44 lbs). Take large loads to an <a href=""http://edmonton.ca/ecostation"" Eco Station or the <a href=""http://edmonton.ca/ewmc"" Edmonton Waste Management Centre for free.  If these are elm trimmings, <a href=""page:562385:{}"">special instructions apply to help prevent the spread of <a href=""https://www.edmonton.ca/programs_services/pests/dutch-elm-disease.aspx"">Dutch elm disease. Diseased branches (like black knot) should be sealed in a plastic bag and put in your garbage cart."
boost_drink_bottle,Boost drink bottle,,bottle_depot,Bottle Depot drop-off,,Remove bottle cap and place separately in garbage.
cereal_box_liner,Cereal box liner/bag,", ceareal bag",wizard_garbage,Garbage collection,,
clay_and_bentonite,Bentonite,Wine,wizard_garbage,Garbage collection,,
bath_mat,Bath mat,Bathmat,reuse,Reuse,,
shower_curtain_rings,Shower curtain rings,,reuse,Reuse,,
sticks_twigs,Sticks and twigs,"brush, shrubbery, shrub, wood cuttings, mulch",wizard_seasonal_yard_waste_collection_test,Seasonal yard waste collection,,Sticks and twigs may also be tied in bundles for seasonal yard waste collection. Bundles must be less than 1.2 m (4 ft) long and 0.75 m (2 ft) in diameter.
clay,Clay,Bentonite,eco_station_-_bulky_item,Eco Station drop-off (fees apply),,"Have a tiny bit of clay? Small amounts of residential clay can be placed in your garbage cart. Remember, carts can&rsquo;t be collected if they weigh more than 120 lbs (small cart) or 220 lbs (large cart)."
cloth_shower_curtain,Shower curtain (cloth),polyester shower curtain,wizard_garbage,Garbage collection,,
plastic_spoon,Plastic spoon,,wizard_garbage,Garbage collection,,
wig,Wig,"Costume, Halloween",wizard_garbage,Garbage collection,,
baby_food_jar,Baby food jar,,wizard_recycling,Recycling collection,,Remove caps and lids and place in garbage.
plastic_table_cloth,Plastic table cloth,,reuse,Reuse,,
wooden_stir_stick,Wooden stir stick,coffee,wizard_food_scraps_collection_test,Food scraps collection,,
acorns,Acorns,,wizard_seasonal_yard_waste_collection_test,Seasonal yard waste collection,,
single-serve_coffee_pouch,Single-serve coffee pouch,instant coffee bag,wizard_garbage,Garbage collection,,
trophy,Trophy,"Trophies, trophies",wizard_garbage,Garbage collection,,
chopstick_plastic,Chopstick (plastic),,wizard_garbage,Garbage collection,,
magazine,Magazine,"Magizine,",wizard_recycling,Recycling collection,,
natural_wood_shavings,Natural wood shavings,,wizard_home_composting,Compost at home,,
fabric_softener_container,Fabric softener bottle,fabric softner,wizard_recycling_depots,Recycling Depot drop-off,,Remove caps or lids and place in garbage.
pop_can,Pop can,"Soda can, aluminum can,",wizard_recycling,Recycling collection,,
teabag,Tea bag,", teabag, tea bags",wizard_food_scraps_collection_test,Food scraps collection,,
styrofoam_egg_carton,Egg carton (Styrofoam),"Foam egg carton, styrofoam egg tray",wizard_garbage,Garbage collection,,
yard_and_garden_trimmings,Yard and garden trimmings,"yard waste, pruning, garden waste, yardwaste, pine needles, spruce needles, rhubarb leaves",wizard_seasonal_yard_waste_collection_test,Seasonal yard waste collection,,
cottage_cheese_container,Cottage cheese container,,wizard_recycling_depots,Recycling Depot drop-off,,Rinse container. Place foil lid in garbage and plastic lid in recycling.
coffee_cup_lid,Coffee cup lid,"Tim Hortons coffee cup lid, Starbucks coffee cup lid",wizard_garbage,Garbage collection,,
spiral_wound_can,Spiral wound can,", tennis ball cans, powdered drink container, Cashew container, Peanut snack can, comet, baking powder can, formula containers, koolaid container, formula can, tea canister, powdered drink mix can, hot chocolate canister, infant formula container",wizard_garbage,Garbage collection,,
artificial_plants,Artificial plants and flowers,,wizard_garbage,Garbage collection,,
pet_training_pad,Pet training pad,"Puppy pee pad, puppy pad",wizard_garbage,Garbage collection,,
